NAME
Simon Tenovsky Orchestra
"Corman, William"
"Weissfish, Shlomo"
"Weissman, Dick"
"Weissman, G. Z."
"Weissman, Gerda"
"Weissman, Max"
"Weissman, Morris"
"Weitman, M."
"Weitzman, Dr. Chiam"
"Weizel, Uzi,"
"Weizman, Khaim"
"Wekstein, Pierre"
"Weldier, Dovid & A. Wainhaus, voc"
"Welichansky, Israel"
"Wells, G. / B. Cooper"
"Werdyger, David"
"Werdyger, Cantor David"
"Werner, Prof Eric, acc and narrat"
"Wertsberg, Ilan, arranger"
"Wertynski, Alexander"
"Wertzberger, Rabbi"
"Wesby, Ivo"
West End Klezmorim
"West, Hedy"
"Westenburg, Richard"
"Westera, Bette/ Nebbisj Un Rebbisj"
Western Wind Ensemble
"Weston, P."
"Wetzler, Laura"
"Wex, Michael"
"White, Wolfson, Danoff"
"Whiteman, Paul Concert Orchestra"
"Whitman, Walt"
Whitney
Wholesale Klemer Band
Wholesale Klezmer Band
Wholesale Klezmer Band/
Wholesale Klezmer Band/ Y. Kurland
Wholesale Klezmer Band/J. Kurland
Wholesale Klezmer Band/Y. Kurland
"Wichel Brothers, duet"
"Wieder-Atherton, Sonia"
"Wielanek, Stasiek"
"Wiernik, Adam"
"Wiesel, Elie"
"Wiezel, Aviva, harp"
"Wiezel, Uzi, cello"
"Wilda, Helena"
"Wilde, Justin & Rosie Cohen"
"Wilder, Ralph, clarinet"
Wildflowers Group
"Wilenski, Moshe"
"Wilensky, Moshe"
"Wilensky, Moshe / M. Lev-Ran"
"Wilkomirsky, Abraham"
"Willens, Rita Jacobs"
"William, Lawrence, arr"
"Williams, John"
"Williams, Ralph Vaughn, arr"
"Williams, Spencer"
Williamsburg Pops Orch and Singers
Williamsburgh Pops Orch & Singers
"Williamson, Alister and Chorus"
"Wilner, Lori"
"Wilner, Max"
"Wimberger, Peter"
"Winchevsky, Morris"
"Windholz, Teddy"
"Windish, Samuel"
"Windler, Dora"
"Winter, Manny, clarinet"
"Winternitz, Dr. Khanan"
"Wise, David"
"Wiseman, Joseph"
"Wisenberg, Menakhem, piano"
Wisnets Khasidim
"Witler, Ben Tsion"
"Wnuk, Wlodzomierz, original"
"Wohl, Herman"
"Wohlberg, Cantor Max"
Wolfe
"Wolfensorn, Sh."
"Wolff, Cantor William"
"Wolfson, A. L."
"Wolfson, Julius, concert version"
"Wolfson, Cantor Arthur"
"Tamir, A."
"Volkoviski, Alexl"
"Wollensen, Kenny, Drums"
"Wolowitz, Hersh"
"Wolpe, S."
"Wolfsthal, Khone"
"Wood, John R."
"Workmen's Circle Chorus, Phila"
"Workmen's Circle Chorus, Philaite"
"Workmen's Circle Chorus, Philarus"
"Workmen's Circle Chorus, Philaus"
Workmen's Circle Children's Chorus
Workmen's Circle Chorale
Workmen's Circle Chorus
Workmens' Circle Chorus
"Worshippers from Ioannina, Greece"
"Wozniak, Jerzy Instrumental Ensemble"
"Wurman, Hans, arr"
"Wuyts, Frank, arr"
"Wynberg, Simon"
"Wyner, Susanan Davenny, soprano"
"Wyner, Yehudi, (b. 1929), arr"
"Wyner, Yehudi, arr"
"Wysocki, W."
Y'did Singers
"Ya'akov, Gedalia (Caucasus)"
"Ya'ari, Sarah"
"Yaare, Sara"
"Yaari, Sara"
"Yaary, Sara"
"Yablakoff, Herman"
"Yablakoff, Herman / Sh Miller, Heb"
"Yablakoff, Herman/ J. Levy, Eng"
"Yablakoff, Herman/ R Zim, Eng"
"Yablonsky, M. & Galina Libenstein"
Yad Bezemer Harmony Sec & Orch
Yad Bezemer Harmony Section & Orch
"Yadin, Yigael"
"Yakhimuvits, Y."
"Yakubovich, Moise I."
Yale Klezmer Band
"Yalin-Mor, Nathan"
"Yampole, Victor"
"Yampolsky, Leyb"
"Yanasovitsh, Yitskhak"
"Yanitch, M."
"Yanitch, Nehama"
"Yankelev, Joseph, violin"
"Yankelevish, B., piano"
"Yankelvish, B."
Yanos
"Yanski, F. ?"
"Yardeini, Mordecai"
"Yardeni, David Alster"
"Yardeni, Temira"
Yardeni. Temira
Yarkon Bridge Trio
"Yarkon, Jo, dir"
"Yarkoni,Yaffa"
"Yaron, Sara (Sklarski)"
"Yarrow, Egon"
"Yarrow, Peter"
"Yasanovitsh, Yitskhak"
"Yashai, Ben"
Yasmine
"Jassinovsky, Khazn Pinkhos"
"Yavin, Khaim"
"Yavin, Khaim, Eng. narration"
"Yavin, Khaim, Heb. narration"
"Yavin, Khiam, Eng. Narration"
"Yavin, Khiam, Heb. Narration"
"Yavno, Yakov"
Yeadles
Yehieli
Yehoyash
"Yeini, Leor"
"Yekhezkl, Rebbe of Tarlo"
"Yekhieli, A."
"Yellen, Jack"
"Yellen, Jack / Gil Bernard"
"Yellen, Jack and Dan Dougherty"
Yemenite Worshippers
"Yeni, Lior"
"Yenkowitz, Max"
Yerusahalayim. Avney
Yeshiva Brass
Yeshiva Student Chorus
"Yess, Moshe"
"Yess, Moshe & Sholom Levine-Megama"
"Yevteshenko, Y./ Moshe Sakhar, Yid"
"Yevteshenko, Yevgeni"
"Yevutshenko, Yevgeny"
Yiddish American Jazz Band
Yiddish Light Opera Co of Long Isl
Yiddish Light Opera Co-Long Island
Yiddish Theatre Ensemble
Yiddish Youth Ensemble
Yiddishe Cup Klezmer Band
Yidishe Lid Group
Yidisher Orkester
"Yisroel, Rabbi of Modzits"
"Yisroel, Rabbi of Rozin"
"Yitskhaki, Israel"
"Yoakhimovitsh, Avrom"
"Yoelin, Shelley"
"Yomen, Ben"
"Yonatan, Natan"
"Yonsovits, Y."
"Yosef, Levi Ben"
"Yosef, Levi Ben / Bernard, Gil"
Yosi Khizkiyona (Trio)
Yosl Kotliar
Yossele
"Yotzenpress, Muchi"
"Yotzenpress, Mutchi, arr"
You Don't Have To Be Jewish Ensem
You Don't Have To Be Jewish Ensemb
You Don't Have To Be Jewish Play..
"Youmans, Vincent"
"Younin, Wolf"
"Younin, Wolf & Sh. Kahn"
"Yovel, Hanan"
"Yovel, Khanan"
"Yovel, Khanan / Tsilia Dagan"
"Yovel, Khanen"
Yradier
"Yucht, Philip (Fayvl)"
"Yud, Nokhum"
"Yudilevits, M."
"Yudovitz, Avrom"
"Yussim, Max"
"Yusum, Max, tsimbl solo"
"Yvker, Moyshe"
"Zayde, Jascha"
ZOA House Male Chorus
"Zach, Natan"
"Zagnit, Stuart"
Zahal Entertainment Groups
"Zahar, Shmuel"
"Zahavi, Dovid"
"Zahavi, Dovid / J. Weiskopf"
"Zahavi, Oded, arranger"
"Zak, Avrom"
"Zakai, Dan"
"Zakai, David"
"Zakai, Dudu"
"Zakharov, Vladimir"
"Zalis, Herman"
"Zalkind, Max"
"Zalman, Rabbi Schneur of Liadi"
"Zalmanoff, Rabbi Samuel, Director"
"Zalmanoff, Samuel"
"Zalmenov, Rabbi Samuel"
"Zalmonoff, Rabbi Samuel, Director"
"Zaltsman, Cantor Berele"
"Zalulovsky, L."
"Zaluski, I."
Zamarey Hakhof
Zamir
Zamir Choral Of Boston
Zamir Chorale
Zamir Chorale & Rock Ensemble
Zamir Chorale Of Boston
"Zamir Chorale, New York"
"Zamir, E."
"Zamir, Emmanuel Troupe"
"Zamir, I."
"Zamir, Miri & Orch"
"Zamir, Oded"
Zamrey Hakhof
"Zanberg, Paul"
"Zanetti, Miguel, piano"
"Zanicchi, Iva"
"Zarai, Rika"
"Zarai, Yokhanan"
"Zarai, Yokhanan and Didi Menossi"
"Zarinsh, Margers (b.1910)"
"Zarkevich, Theodore"
Zarkovsky
"Zarycki, A."
"Zaslav, Bernard/ Raymond Kunci"
"Zaslavsky, Y."
"Zaugg, Freddy & Klezmer Pow Wow"
"Zaugg, Freddy"
"Zbarzher, Velvl"
"Zdravkova, Silka & Ginka Georgieva"
"Ze'ev, A Ben"
"Zeestev, A. ?"
"Zehavi, David"
"Zehavi, Dovid"
"Zeira, Mordecai"
"Zeitlin, Aaron"
"Zeitlin, Aaron/ Naama Hendel, Heb"
Zeitz - Portunoff ?
"Zelinka, Ilja (b.1932)"
Zelkovitsh
Zelkowitsh
"Zelman, Mel, narrator"
"Zeltser, Dubi"
"Zeltzer, Dubi"
"Zeltzer, Dubi, arranger"
Zemachson
Zemed Re'im
Zemel Choir
Zemer Ran
"Zenatti, Rivka"
Zerubavel
Zeruhavel
"Zevit, S. I. & Rabbi Margot Stein"
"Zevit, S. I./ Rabbi Rayzel Raphael"
"Zevit, Shawn I. & Jamie Arnold"
"Zevit, Rabbi Shawn Israel"
"Zevit, Shawn Israel & J. Spitzer"
"Zfira, Avshalom / Avraham Albrecht"
"Zfira, Avshalom, guitar"
"Zfira, Avsholom"
"Zhak, A. S."
"Zharko, Kobi"
"Zharko, Kobi and Dora Gerassi"
"Zhislin, Borukh, conductor"
"Zhitlovsky, Khaim"
"Zhitomirski, Alexander M."
"Zibitt, Rickie"
"Ziegler, Bernhard, arr"
"Ziegler, Yerakhmiel"
"Zifroni, Uri"
"Ziganoff, Mishka"
"Zigeuner, Petru"
"Zigman, Avraham"
"Zilber, Ariel"
"Zilber, Ariel & Tamouz Group"
"Zilberts, Cantor Zavel"
"Zilberts, Zavel (1881-1949)"
"Zilberts, Zavel (1881-1949), arr"
"Zim, Brothers (Formerly ""Zimel"")"
"Zim, Cantor Paul"
"Zim, Paul & Chorus"
"Zim, Paul & Simcha Klezmer Band"
"Zim, Paul and Children's Choir"
"Zim, Paul and Children's Chorus"
"Zim, Paul and Sol"
"Zim, Paul with Children's Choir"
"Zim, Paul with Childrens Chorus"
"Zim, Paul, (adopted music)"
"Zim, Paul, Children's Chor & Orch"
"Zim, Paul, with Orch & Chorus"
"Zim, Sol"
"Zim, Sol, Eng"
"Zim, Sol, vocal arr"
"Zimel, Cantor Paul"
"Zimel, Paul"
"Zimel, Sol"
"Zimet, Ben"
"Zimmer, Zishe"
"Zimmerman, Matt and Chorus"
Zimriah Orchestra
Zimriyah Choir
"Zingboym, Muti & Pirkhey Tsabarim"
Zingrela
Zingrele
"Zipris, Raquel"
"Zlotshover, Rebe Mikhele"
Zmiros
"Zohar, Israel"
"Zohar, Israel, clarinet & orch"
"Zohar, Rivka"
"Zohar, Uri"
"Zohar, Yehoshua, arr"
"Zohar. Israel, clarinet"
"Zolar, Dahlia"
"Zorman, Moshe"
"Zorn, John"
"Zshikhlinski, Reyzl"
"Zubren, Carl"
"Zuckerman, Mark"
"Zukerberg, Mr & Miss"
"Zukerman, J."
"Zukerman, Pinkhas"
"Zukoff, William"
"Zukor, Khazn Avigdor"
"Zumoff, Nukhem"
"Zunzer, Eliakum"
Zupfgeigenhansel
"Zuri, M."
Zurich Symphony Orchestra
"Zviagintzeva, V."
"Zweig, Esther S."
"Zweig, R' Gedalia"
"Zwick, Cantor Abraham"
"Zywulska, Krystyna"
"Itarrosa, Alfredo"
"koren, Avi, Heb / Warshavsky, Mark"
"van Eck, G., arr"
"von Tol, Theo"
"von Tilzer, Albert"
"Weinshel, Howard"
"White, Olga"
"Gershowitz, H."
"Anik, Evelyn"
"Meisels, Ida Ruth"
"Birnbaum, Louis"
"Birnbaum, Morris"
"Davidoff, Jacob"
"Mesco, Adam"
"Silver, Mark"
"Brun, Rosa"
"Brun, Herrn"
"Karp, Abe"
"Leizerovitz, Yacov"
"Paskel, Simon"
"Levy, Jacques"
"Curtis, Mike"
"Leslie, David"
"Scollard, Dan"
"Storrs, Dave"
"Curtis, Mike Klezmer Quartet"
Mike Curtis Klezmer Quartet
"Lopatin, Shloyme"
"Weiss, Jonasan (Yonasan)"
"Shapira, Rabbi Meir"
"Zaremba, Meyer"
"Zaremba, Helen"
"Neslen, Chaim"
Sh. Ansky
"Rapoport, Solomon Zaynvl"
"Inge, Anders"
"Westling, Kjell"
"Johnson, Tommy"
"Kraft, Daniel"
"Feiner, Aaron"
Kisselgoff (?)
"Hirshbeyn, Perets"
"Avraham, Sholom Ben"
"Simon, Madeline"
"Hurvits, Shmuel"
"Kotiansky, Chaim"
"Miller, Robin"
"Berney, Mark"
"Hamilton, Mark"
"Bailey, Art"
"Smith, Grant"
"Cohen, Leonard"
"Aguinsky, Jairo"
"Akst, Harry"
"Downing, Andrew"
"Freedman, Lori"
"Wall, David"
"Kamerling, Sonja"
"Lerner, Marilyn"
"Barnes, Daniel"
"Rabinovitsh, Sholom"
"Spielman, Louis"
Lemberg Yiddish Theatre Orchestra
Beck's Jewish Wedding Orchestra
"Gegna, Jacob (Jascha)"
"Neslen, Chaim Grandmother"
"Brandwein, Bookie"
"Cherniavsky, Lara"
Allen Street Gypsies
Lou Lockette Orchestra
"Lockette, Lou Orchestra"
Murray Lehrer Ensemble
Murray Lehrer Orchestra
"Lehrer, Murray Orchestra"
"Olshanetsky, Sura"
Tants Orkester
Yiddish Swing Orchestra
Yiddish Swingettes
Dave Tarras Trio
"Rabinovitsh, M. I."
"Kalminovitsh, Leyzer"
"Vinyar, Nadya"
"Shkolnikov, V."
Folk Orchestra of Kishenev
Kishenev Folk Orchestra
"Fiedel, Jack"
Hymie Jacobson Orchestra
"Jacobson, Hymie Orchestra"
"Epstein, Willie"
"Weissman, Lou"
"Galazan, Charlie"
"Hausman, Al"
"Segal, Avrom"
"Rubin, Joel Jewish Music Ensemble"
"Balogh, Kalman"
"Jacomucci, Claudio"
"Kovacs, Ferenc"
"Major, Laszlo"
"Novak, Csaba"
"Tolsgaard, Jens"
"Steno, Torben"
"Nielsen, Peter"
"Krogholt, Morten"
"Gwozdz, Anna"
"Carlsen, Morten"
"Brinck, Bo"
"Wrono, Mauro"
Klezmer Brazil Band
Banda Klezmer Brasil
"Travossos, Tania Frankiel"
"Travossos, Alexandre Fracalanza"
"Stein, Daniel"
"Dias, Neimar"
"Marini, Ricardo"
"Moreira, Joao Paulo"
"Jose de Melo, Luciano"
"Kammen, John"
"Cahn, Sammy"
"Saminsky, Eliezer"
"Kiselhof, Zinovii"
Medzhybizh Rebe
"Boher, Joseph"
"Cherner, Esther"
"Bilotserkovsky, Moyshe"
"Kaplan, Zalmen"
"Galatser, Berl"
"Hamerberg, Mani"
"Bakshtn, Moyshe"
"Lerner, Yekhiel"
"Liebman, Sonya"
"Romm, Lola"
"Liebers, Motl"
"Groisman, Genia"
"Glatsur, Velvl"
"Kahan, Arn Shmuel"
"Guralnik, Sima"
"Merboym, Chaim"
"Erlikh, Meir"
"Shteynbard, Motl"
"Charney, Daniel"
"Richman, Rebecca"
"Broz, Avram"
Khevrisa
"Guzikow, Mikhl Yosef"
"Fiedler, Chaim"
"Drucker, Yosef"
"Kholodenko, Avram Moyshe"
"Greenman, Steven"
"Beigelman, David"
"Goguel, Rudi"
"Langhoff, Wolfgang"
"Boychouk, Sasha"
"Koulack, Daniel"
"Friesn, John"
"Schultz, Myron"
"Besen, Joan"
"Graham, Boyle"
"Eaman, David"
"Malkhasian, Mkritch Megel"
"Poliker, Yehuda"
"Jacobson, Bob"
"Wolfe, Daithi"
"Baade, Christina"
"Austin, David"
"Pollay, Mike"
"Appleby, Matt"
"Pollack, Jon"
Yid Vicious
Gregori Schechter Klezmer Festival Band
"Schechter, Gregori Klezmer Festival Band"
"Curtis, Stewart"
"Korn, Dovid"
"Jayasinha, Paul"
"Baron-Cohen, Erran"
"Gee, Ronnie"
"Israeli, Eli"
"Ferrao, Hans"
Den Flygande Bokrullen
"Ydgren, Lars"
"Pohjola, Matti"
"Pohjola, Oskar"
"Johansson, Gustav"
"Johansson, Carl"
"Chilton, Kirk"
"Klein, Tony"
"Soderstrom, Calle"
Jafffah Musicians & Singers
"Ratner, Moyshe"
Burning Bush
"Skeaping, Lucie"
"Skeaping, Roderick"
"Jeffrey, Robin"
"Thompson, Keith"
"Corkhill, David"
"Osborne, David"
Oy Vey! Klezmer Band
"Dresdner, Sruli"
"Jaccobi, H."
"Mlotek, Avram"
"Mlotek, Missy"
Childrens' Chorus Oy Vey Klezmer
"Gertlmen, Lusia Schwebisch"
"Kopyt, Alik"
"Van Houten, Raymond"
"Hangley, Jr., Bill"
"Rubenowitch, Astrid"
POZA
Klezmer Nutcracker Shirim
"McLaughlin, Michael"
"Fitzpatrick, Pete"
"Rosenthal, Eric"
"Manning, John"
"Gray, Jim"
Abe Elenkrig's Orchestra
Belf's Rumynski Orkestr
Original Dixieland Jazz Band
Peretz Sandler's Orchestra
"Sandler, Peretz Orchestra"
Sam Musiker Orchestra
"Rubin, Mark"
"Leess, Howie"
"Gross, Ken"
"Abruzzo, Tom"
"Salzberg, Si"
Ken Gross Orchestra
"Waletzky (Dovid Yudl), D. J."
"Vratil, Ladislav"
"Hudak, Zdenek"
"Hindls, Richard"
"Linhart, Radim"
"Alstone, Alex"
"Gallop, Sammy"
Galle
"van Dijk, Onno"
"Julsing-Soffer, Hara"
"Age, Wout"
"Soffer, Ora"
"Leverett, Margot"
"Parrotti, Nicki"
Mikveh
"Hoffman, Joseph"
"Gordon, Sarah Mina"
"Cambell, Bruce"
"Hope, Anna"
"Reese, Laurie"
"Griener, Trixie"
"Morrison, Al"
Central Penna. Womyn's Chorus
"Plant, Alissa"
"Carmitchell, Bobbi"
"Gorelick, Yona Leviton"
"White, Deborah"
"Gildin, Marsha"
"McLoota, Sam"
Shirim
"Reiss, Yitskhok"
"Zuskin, Benyamin"
"Rozina, (no other name given)"
Unidentified Orchestra
"Rotbaum, Sarah"
Sy Kushner Klezmer Ensemble
"Kushner, Sy Klezmer Ensemble"
"Kushner, Sy"
"Fedoriouk, Alexander"
Frank London's Klezmer All Stars
"London, Frank Klezmer All Stars"
"Sandler, Susan"
"Kisslinger, Jerry"
"Cooper, Johanna"
"Clearfield, Andrea"
Los Angeles Jewish Symphony
"Green, Noreen"
"Harper, Valerie"
"Plitmann, Hila"
"Dubinbaum, Gail"
"Frankel, Ellen"
"Miriam, Rivka"
"Zisquit, Linda"
"Yokubovitsh, Rosa"
"Shanin, Sandy"
"Ostriker, Alicia"
"Piercy, Marge"
"Raphael, Rabbi Geela Rayzel"
"Friend, Robert"
"Sandback, Shimon"
"Greenspan, Sherry"
"Mandel, Betta"
"Ansong, Susanne"
"Heller, Sabine"
"Heller, Veit"
"Metzler, Michael"
"Ibn Ezra, Moses"
Vevl Zbarzher
"Eherenkranz, Benyiman-Wolf"
"Ha-Gorni, Issaac Ben Abraham"
Richard The Lionheart
"De Bloise, Robert"
"De Troyes, Chreiten"
Konrad Von Wurzberg
Rumslant
Friedrich Von Sonnenberg
"Winogradoff, Josef"
"Rubinstein, Anton Grigorievich"
"Chaitovsky, Benjamin"
"Hoffman, Daniel"
"Lewicki, Jeanette"
"Mummey, Kevin"
"Saunders, Richard"
"Saxon, Stephen"
"Seavey, Charlie"
"Sedler, Moses"
San Francisco Klezmer Experience
L. Magister
"Magister, L."
"Reich, I."
"Adler, Julius"
"Jacobson, Henrietta"
"Kalich, Jacob (Yankl)"
"Serebroff, Muni"
"Saltzman, Esta"
"Winters, Ann"
"Schoenfeld, Mae"
Kosher Widow Ensemble
Unidentified Male Vocalist
Unidentified Choral Group
Unidentified Ensemble
"Sapozshnik, Khanan-Leyb"
"Evans, Marion"
"Guercio, Joe"
"Zito, Torrie"
"Mersey, Robert"
"Costa, Don"
"May, Billy"
"Lawrence, Steve"
"Sherman, J."
"Sherman, N."
"Mayhew, B."
"Berland, Sigmunt"
"Drake, Ervin M."
"Oliviero, N."
"Ortolani, R."
"Gimbel, H."
"LeGrand, M."
"Whitman, Beth Slater"
"Friedman, Leo"
"Dee, S."
"Kent, A."
"Young, Victor"
"Yacubovich, Masha"
"Guzman, Lev"
"Cheremukhn, Sergey"
"Shamsiev, Khabibulla"
"Cahan-Simon, Lori"
"Tishler, Norm"
"Shapiro, Henry"
"Merdler, Lyle"
"Arnoff, Dr Melvin"
"Kalushiner, Y. L."
"Mahovlich, Walt"
"Goichberg, Yisroel"
Glad Singers
"Mathis, Johnny"
"Henderson, Skitch"
Village Stompers
"Previn, Andre"
"Botwinik, Sender (Alexander)"
"Weinberger, Marvin"
"Denza, Luigi"
"Botwinik, Leybl (Leon)"
"Moskovici, Josef"
"Hargy, Bela"
"King, Eddy"
"Lenzberg, Julius"
"Edwards, Leo"
"Pitch, David"
"Borowiecki, Teddy"
"Stoll, Randall"
"Wirth, Mikhl"
"Rudich, Arik"
"Carmi, T."
"Zefirah, Bracha"
"Silber, Ben-Ami"
French String Trio
Vocal Quartet
"Cornman, Robert"
"Larrive, Maxence"
"Lancelot, Jacques"
"Thibaut, Pierre"
"Mayer, Lisa"
"Partos, O."
"Chambon, Jacques"
Maccabee Singers
Original Chorus Of National Theatre
Rosenberg
"Karasinski, Zygmunt"
"Christie, Sonya"
"Ludvigsen, Casper"
"Cevik, Cengiz"
"Bowshower, Dora"
"Zanger, Jacob"
"Deutsch, Emory Orchestra"
Emory Deutsch Orchestra
"Wynn, Nan"
O'Keefe
Stone
"Deutsch, Emory"
Jewish Art Quartet
"Drucker, Moe"
"Hantin, Aaron"
"Zeiman, Nathan"
"Goldman, Jacob"
"Baker, Belle"
Gene Kardos Orchestra
"Kardos, Gene Orchestra"
"Shapiro, Ted"
Richman
"Shargel, Jack"
"Shargel, Jacob Joseph"
"Stept, Sammy H."
Wells
"Rose, Julian"
"Crumit, Frank"
Stamper
MacDonald
The Happiness Boys
"Jones, Billy"
"Hare, Earnest"
"Booker, Bob"
"Foster, George"
"Glantz, Nathan"
Nathan Glantz Orchestra
"Kaufman, Irving"
"Morgan, Russ"
Russ Morgan Orchestra
"Clarke, Carolyn"
"La Tempa, Susan"
"Reynolds, Malvina"
Amadeo-Brio
Victor Young Orchestra
"Harvey, Karen"
Paul Rothman Orchestra
"Kaelter, Wolli"
"Rozenberg, M."
"Bailey, Mildred"
Mildred Bailey Orchestra
"Shavers, Charlie"
"Bailey, Buster"
"Procope, Russell"
"Kyle, Billy"
"Kirby, John"
"O'Neill, Spencer"
"Small, Allan"
"Liebowitz, Joseph"
Xavier Cugat Orchestra
"Cugat, Xavier"
"Lane, Abbe"
Funnyboners
"Venuti, Joe"
"Wall, Phil"
Yacht Club Boys
Kelly
Mann
Kern
Ted Lewis Orchestra
"Klein, Dave"
"Spanier, Muggsy"
"Blank, Sam"
"Brunies, George"
"Martin, Lewis"
"Wolfson, Hymie"
"Shapiro, Sam"
"Klein, Sol"
"Aaronson, Jack"
"Gerhardi, Tony"
"Barth, Harry"
"Lucas, John"
"Gaillard, Slim"
Flat Foot Floogie Boys
"Newman, Cyril"
"Hollon, Kenneth"
"Morgan, Lounell"
"Smith, William"
"Pettaway, Herbert"
Squires
"Calloway, Cab"
Cab Calloway Orchestra
"Bauza, Mario"
"Wright, Lamar"
"Cheatham, Doc"
"Jones, Jean Claude"
"Wheeler, De Priest"
"Johnson, Keg"
"Haughton, Chauncey"
"Brown, Andrew"
"Thomas, Walter"
"Berry, Choo"
"Payne, Bennie"
"Barker, Danny"
"Hinton, Milt"
"Cole, Cozy"
"Ram, Buck"
Lewis
Braverman
"Eldridge, Roy"
"Merrill, Reggie"
"Prager, Carl"
"Powell, Eddie"
"Miller, Mitch"
"Wilson, Teddy"
"Collis, John"
"Peterson, Pete"
"Beason, Bill"
"Wilder, Alec"
"Privin, Benny"
"Maxwell, Jimmy"
"Davis, Al"
"McGarity, Lou"
"Cutshall, Cutty"
"Neagly, Clint"
"Kane, Sol"
"Musso, Vido"
"Berg, George"
"Ralston, Art"
"Powell, Mel"
"Morgan, Tom"
"Weiss, Sid"
"Collier, Ralph"
"Lee, Peggy"
Benny Goodman Orchestra
Gene Krupa Orchestra
"Krupa, Gene"
"Cameron, Ray"
"Kazebler, Nate"
"Muntz, Jack"
"Sherman, Al"
"O'Brien, Floyd"
"Rizzoto, Dalton"
"Snyder, Bob"
"Ruffo, Mascagni"
"Donahue, Sam"
"Raskin, Milton"
"Biondi, Ray"
"Rollins, Horace"
"Willet, Chappie"
"Kazebier, Nate"
"Beer, Katja"
"Andrievsky, Alexandra"
"Abt, Walter"
"Glorvigen, Per Arne"
"Jaeger, Guido"
"Schubert, Franz"
"Goethe, Johann Wolfgang"
"Chezy, Muller V."
Schiller
Schober
"Muller, Marcus Milan"
"Harlan, James"
"Bat Chaim, Ora"
"Ben Ze'ev, Re'ut"
"Elkin, Mendl"
"Goldstone, Bob"
"Goldstein, Amy"
Hillel
"Gurko, Henny Durmashkin"
"Ben-Yaakov, Uri"
"Gendler, Arkady"
"Rivkin, Herts"
"Berenstein, Sholem"
"Bender, Brian"
"Davis, Peggy"
"Suter, Michael"
"Davidson, Owen"
"Davis, Richie"
"Tasgal, David"
"Abrahamson, Gila"
"Evan-Shoshan, Shlomo"
"Hermerschmidt, Jan"
"Rotzscher, Heiko"
"Gertsman, Dovid"
"Krakauer, David"
David Krakauer Trio
"Coleman, Anthony"
"Enoch, Frieda"
"Robbins, Carol"
"Hirsh, David"
"Smason, Marc"
"Applebaum, Rabbi Martin"
"RovIra, Eduardo"
"Krevass, Arthur"
"Appel, David"
William Gunther Orchestra
"Pirozhnikoff, Isaac"
Kretzmer
Traditional
Mrs Apple Group
"Malkid, M."
Chamber Music Ensemble
"Ben Israel, Tsvi"
"Jones, Bob"
"Krimets, K."
"Lazarowitz, Barry"
"Ponomarey, Valery"
Andy Statman Quartet
"Werner, Kenny"
"Swartz, Harvie"
"Weiner, Bob"
"Fleck, Bela"
"Grisman, David"
"Lee, Scott"
"Lichtenstein, O."
"Stover, Evan"
"Romano, Don Um"
"Carlini, John"
"Clayton, Frank"
"Kosek, Kenny"
"Glaser, Matt"
"Newton, Abby"
"Laster, Marty"
"Barenberg, Russ"
"Mason, Roger"
"Coria, Enrique"
"Spellman, Zachariah"
"Kerwin, Jim"
"Meyer, Edgar"
"Blaine, Hal"
"Sazer, Irene"
"Granger, Larry"
"Zamchek, Norman"
"Eichenstein, Yisroel"
"Samcheck, Norman"
"Kofman, Alex"
"Zeitlin, Mordechai"
"Zeitlin, Ben Zion"
"Epstein, Ted"
"Roseman, Josh"
"Galinsky, Chaim"
"Berthet, Pierre"
"Schade, Jan Tilman"
"Ocounge, Sylvia"
"Mello, Chico"
"Durand, Werner"
"Lebahn, Dirk"
"Keiner, Daniel"
"Kuprunas, Deborah"
"Glaudel, Daniel"
"Ostling, Kristin"
Voces Novae Et Antiquae
Delaware Valley Chorus
"Elias, Arye"
"Meyer, Sabine"
Rock Theater Dresden
Die Megille Band
"Walew, Alina"
"Schlese, Holger"
"Knorr, Thomas"
"Herrmann, Kerstin"
"Rietz, Tobias"
"Heubaum, Susanne"
"Stanley, Lionel"
"Mager, Perele"
"Mager, Dora"
"Blutchen, Wolfgang"
"Rossmanith, Martin"
"Torker, Martin"
"Steinhagen, Marianne"
"Siebert, Uljana"
"Greenspan, Laurent"
"Burstein, Susan"
"Dymitr, Stefan"
"Wajsblat, Joseph"
"Tzaizel, U."
"Korkhin, L."
The Lonesome Brothers
Joel Rubin Klezmer Band
"Yerushalimsky, Moishe"
"Woolff, Cantor Bernard"
"Shapiro, Reverend Mendel"
"Rose, Lisa"
"Dricker, Regina"
"Malve, Mattius"
"Furman, Jacob"
"Levy, Alberto"
"Mirca, Miroslav"
"Mirca, Zbigniew"
"Wendlik, Steffen"
"Jaffe, Ben"
"Fass, Matthew"
Max
Minka
"Tariverdiev, Mikael"
"Gutman, Alexander"
"Eckert, Achim"
Galitsianer
Massel Klezmorim
"Cooley, C. Ryder"
"Fernay, Roger"
"Derouin, Michel"
Javor
Sereso-Rezso
"Bechtel, Delphine"
"Roberts, Barry"
Agar
Wise
"Kovner, B."
"Sonnleithner, Joseph"
"Breuning, Stephan von"
"Treitschke, Georg Friedrich"
"Toscanini, Arturo"
NBC Symphony Orchestra
"Wilhousky, Peter"
"Sheyn, I."
A. Elinkrig's Yidishe Orch
Abe Neff Orchestra
"Ares, Dov"
"August, Jan"
"Banks, Sadie"
